"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2019-01-28 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1301,0,"",,
2019-01-28 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1236,0,"",,
2019-01-28 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 16:00:00,="MAC030004404",1,"Channel 1",2,"East",1013,0,"",,
2019-01-28 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 17:00:00,="MAC030004404",1,"Channel 1",2,"East",1010,0,"",,
2019-01-28 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 18:00:00,="MAC030004404",1,"Channel 1",2,"East",854,0,"",,
2019-01-28 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 19:00:00,="MAC030004404",1,"Channel 1",2,"East",1021,0,"",,
2019-01-28 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 20:00:00,="MAC030004404",1,"Channel 1",2,"East",1029,0,"",,
2019-01-28 20:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 21:00:00,="MAC030004404",1,"Channel 1",2,"East",828,0,"",,
2019-01-28 21:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 22:00:00,="MAC030004404",1,"Channel 1",2,"East",679,0,"",,
2019-01-28 22:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-28 23:00:00,="MAC030004404",1,"Channel 1",2,"East",508,0,"",,
2019-01-28 23:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1164,0,"",,
2019-01-30 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1344,0,"",,
2019-01-30 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1162,0,"",,
2019-01-30 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 16:00:00,="MAC030004404",1,"Channel 1",2,"East",924,0,"",,
2019-01-30 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 17:00:00,="MAC030004404",1,"Channel 1",2,"East",919,0,"",,
2019-01-30 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 18:00:00,="MAC030004404",1,"Channel 1",2,"East",963,0,"",,
2019-01-30 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 19:00:00,="MAC030004404",1,"Channel 1",2,"East",917,0,"",,
2019-01-30 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 20:00:00,="MAC030004404",1,"Channel 1",2,"East",896,0,"",,
2019-01-30 20:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 21:00:00,="MAC030004404",1,"Channel 1",2,"East",760,0,"",,
2019-01-30 21:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 22:00:00,="MAC030004404",1,"Channel 1",2,"East",773,0,"",,
2019-01-30 22:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-30 23:00:00,="MAC030004404",1,"Channel 1",2,"East",584,0,"",,
2019-01-30 23:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 00:00:00,="MAC030004404",1,"Channel 1",2,"East",401,0,"",,
2019-01-31 00:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 01:00:00,="MAC030004404",1,"Channel 1",2,"East",296,0,"",,
2019-01-31 01:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 02:00:00,="MAC030004404",1,"Channel 1",2,"East",246,0,"",,
2019-01-31 02:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 03:00:00,="MAC030004404",1,"Channel 1",2,"East",256,0,"",,
2019-01-31 03:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 04:00:00,="MAC030004404",1,"Channel 1",2,"East",254,0,"",,
2019-01-31 04:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 05:00:00,="MAC030004404",1,"Channel 1",2,"East",558,0,"",,
2019-01-31 05:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 06:00:00,="MAC030004404",1,"Channel 1",2,"East",1405,0,"",,
2019-01-31 06:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 07:00:00,="MAC030004404",1,"Channel 1",2,"East",1236,0,"",,
2019-01-31 07:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 08:00:00,="MAC030004404",1,"Channel 1",2,"East",1081,0,"",,
2019-01-31 08:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 09:00:00,="MAC030004404",1,"Channel 1",2,"East",1449,0,"",,
2019-01-31 09:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 10:00:00,="MAC030004404",1,"Channel 1",2,"East",1406,0,"",,
2019-01-31 10:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1513,0,"",,
2019-01-31 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1386,0,"",,
2019-01-31 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1342,0,"",,
2019-01-31 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1370,0,"",,
2019-01-31 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1232,0,"",,
2019-01-31 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 16:00:00,="MAC030004404",1,"Channel 1",2,"East",996,0,"",,
2019-01-31 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 17:00:00,="MAC030004404",1,"Channel 1",2,"East",950,0,"",,
2019-01-31 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 18:00:00,="MAC030004404",1,"Channel 1",2,"East",948,0,"",,
2019-01-31 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 19:00:00,="MAC030004404",1,"Channel 1",2,"East",956,0,"",,
2019-01-31 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 20:00:00,="MAC030004404",1,"Channel 1",2,"East",1026,0,"",,
2019-01-31 20:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 21:00:00,="MAC030004404",1,"Channel 1",2,"East",794,0,"",,
2019-01-31 21:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 22:00:00,="MAC030004404",1,"Channel 1",2,"East",797,0,"",,
