"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-01-03 14:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 15:00:00,="MAC030004001",1,"Channel 1",2,"South",1445,0,"",,
2018-01-03 15:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 16:00:00,="MAC030004001",1,"Channel 1",2,"South",1395,0,"",,
2018-01-03 16:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 17:00:00,="MAC030004001",1,"Channel 1",2,"South",1460,0,"",,
2018-01-03 17:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 18:00:00,="MAC030004001",1,"Channel 1",2,"South",1130,0,"",,
2018-01-03 18:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 19:00:00,="MAC030004001",1,"Channel 1",2,"South",959,0,"",,
2018-01-03 19:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 20:00:00,="MAC030004001",1,"Channel 1",2,"South",808,0,"",,
2018-01-03 20:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 21:00:00,="MAC030004001",1,"Channel 1",2,"South",650,0,"",,
2018-01-03 21:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 22:00:00,="MAC030004001",1,"Channel 1",2,"South",592,0,"",,
2018-01-03 22:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-03 23:00:00,="MAC030004001",1,"Channel 1",2,"South",385,0,"",,
2018-01-03 23:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 00:00:00,="MAC030004001",1,"Channel 1",2,"South",259,0,"",,
2018-01-04 00:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 01:00:00,="MAC030004001",1,"Channel 1",2,"South",219,0,"",,
2018-01-04 01:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 02:00:00,="MAC030004001",1,"Channel 1",2,"South",198,0,"",,
2018-01-04 02:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 03:00:00,="MAC030004001",1,"Channel 1",2,"South",163,0,"",,
2018-01-04 03:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 04:00:00,="MAC030004001",1,"Channel 1",2,"South",216,0,"",,
2018-01-04 04:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 05:00:00,="MAC030004001",1,"Channel 1",2,"South",445,0,"",,
2018-01-04 05:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 06:00:00,="MAC030004001",1,"Channel 1",2,"South",1087,0,"",,
2018-01-04 06:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 07:00:00,="MAC030004001",1,"Channel 1",2,"South",1674,0,"",,
2018-01-04 07:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 08:00:00,="MAC030004001",1,"Channel 1",2,"South",1522,0,"",,
2018-01-04 08:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 09:00:00,="MAC030004001",1,"Channel 1",2,"South",1346,0,"",,
2018-01-04 09:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 10:00:00,="MAC030004001",1,"Channel 1",2,"South",1354,0,"",,
2018-01-04 10:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 11:00:00,="MAC030004001",1,"Channel 1",2,"South",1439,0,"",,
2018-01-04 11:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-04 12:00:00,="MAC030004001",1,"Channel 1",2,"South",1428,0,"",,
